FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
508,4842420,42420,Terrell County ISD,222901,222901,119792,55358,119792,114,1106946,906323,1774269,1771871,0,5559409,47516.32,19.90%,16.30%,31.90%,31.90%,0.00%,7057957,83035,B,89,41%,49%,16%,39%
509,4820400,20400,Garrison ISD,174903,174903,130759,55043,79829,736,4720710,2364021,4561044,2983491,0,14629266,18974.4,32.30%,16.20%,31.20%,20.40%,0.00%,17552464,24311,B,86,40%,56%,52%,54%
510,4834650,34650,Perryton ISD,179901,179901,165000,48043,87190,1802,10762322,7252095,5890180,5880773,0,29785370,15497.07,36.10%,24.30%,19.80%,19.70%,0.00%,62498742,43162,B,84,45%,54%,47%,55%
511,4819050,19050,Fannindel ISD,60914,60914,125000,51989,71500,141,1457846,770132,168358,1560496,0,3956832,28466.42,36.80%,19.50%,4.30%,39.40%,0.00%,717200,6641,D,64,73%,90%,87%,83%
512,4831650,31650,Mount Enterprise ISD,201907,201907,127575,53267,83213,501,3279207,1669272,7834199,2548641,0,15331319,30239.29,21.40%,10.90%,51.10%,16.60%,0.00%,18289244,40196,B,82,46%,60%,33%,48%
513,4822970,22970,Henderson ISD,201902,201902,216260,55684,104183,3245,19452107,13382240,3780156,14175037,0,50789540,15428.17,38.30%,26.30%,7.40%,27.90%,0.00%,37093219,13836,C,76,58%,72%,59%,66%
514,4817130,17130,Dime Box ISD,144903,144903,132500,59055,75990,156,1463911,800696,458238,967439,17461,3707745,24601.89,39.50%,21.60%,12.40%,26.10%,0.50%,3816800,36008,D,67,84%,85%,71%,79%
515,4834140,34140,Palo Pinto ISD,182906,182906,131907,52501,65930,94,761134,418741,243576,597232,4334712,6355395,19810.62,12.00%,6.60%,3.80%,9.40%,68.20%,2143400,19664,A,93,4%,27%,.,45%
516,4811110,11110,Brady ISD,160901,160901,140000,52961,87567,935,6685862,4838579,2620558,4116399,0,18261398,18806.8,36.60%,26.50%,14.40%,22.50%,0.00%,15020250,16839,C,78,47%,64%,52%,67%
517,4811280,11280,Brenham ISD,239901,239901,185000,56467,98615,4872,29548820,17427072,5299010,12594115,0,64869017,13333.82,45.60%,26.90%,8.20%,19.40%,0.00%,39689432,9477,C,72,53%,57%,55%,55%
518,4809810,9810,Bellville ISD,8901,8901,170000,60032,88130,2315,14378992,8335984,10092731,7977655,119807,40905169,17864.81,35.20%,20.40%,24.70%,19.50%,0.30%,108037492,50250,C,76,45%,54%,50%,59%
519,4828020,28020,Lone Oak ISD,116906,116906,145000,61823,89729,1137,7435837,3804709,21787614,3946508,0,36974668,32264.11,20.10%,10.30%,58.90%,10.70%,0.00%,70770604,57961,B,86,41%,49%,48%,53%
520,4812660,12660,Campbell ISD,116910,116910,134268,55448,81000,269,2292110,1291079,339515,1361698,0,5284402,18412.55,43.40%,24.40%,6.40%,25.80%,0.00%,1351084,7000,C,77,74%,81%,49%,84%
521,4815150,15150,Cooper ISD,60902,60902,135000,56038,89829,903,5664758,3476642,2538699,3844838,0,15524937,17682.16,36.50%,22.40%,16.40%,24.80%,0.00%,8614055,10959,B,83,53%,63%,57%,60%
522,4810320,10320,Blanco ISD,16902,16902,166367,59126,90252,1102,6765378,4949869,21823353,4723659,538067,38800326,34626.48,17.40%,12.80%,56.20%,12.20%,1.40%,65510122,61744,B,80,48%,55%,47%,48%
523,4829040,29040,Marfa ISD,189901,189901,85001,52216,81000,194,1963314,1201760,918391,1421289,1466521,6971275,24685,28.20%,17.20%,13.20%,20.40%,21.00%,4035925,25871,D,61,61%,81%,76%,68%
524,4835800,35800,Presidio ISD,189902,189902,40000,50139,83431,1085,6768088,5590374,3090116,4910886,0,20359464,19614.13,33.20%,27.50%,15.20%,24.10%,0.00%,1291975,1344,D,64,64%,67%,52%,68%
525,4814880,14880,Como-Pickton Cons ISD,112908,112908,150000,57566,85984,770,5809028,2676534,1434145,3463663,0,13383370,17702.87,43.40%,20.00%,10.70%,25.90%,0.00%,18256037,25285,B,84,54%,62%,69%,58%
526,4808130,8130,Amarillo ISD,188901,188901,300654,62024,105090,29321,193986262,97166184,32769485,75475001,0,399396932,13434.59,48.60%,24.30%,8.20%,18.90%,0.00%,295156616,11843,B,83,47%,55%,50%,58%
527,4825620,25620,Kilgore ISD,92902,92902,193386,57843,93496,3660,21746483,12459300,27806822,13313796,0,75326401,20221.85,28.90%,16.50%,36.90%,17.70%,0.00%,195657783,62993,C,74,52%,64%,56%,60%
528,4833340,33340,Oakwood ISD,145907,145907,135000,53666,79500,203,1787081,1181180,893590,1463210,0,5325061,24095.3,33.60%,22.20%,16.80%,27.50%,0.00%,6530146,32981,C,72,71%,71%,48%,84%
529,4818390,18390,Elkhart ISD,1903,1903,137612,57788,89341,1187,8083273,3899228,2045905,4114941,0,18143347,15157.35,44.60%,21.50%,11.30%,22.70%,0.00%,14257564,13605,B,85,41%,59%,61%,48%
530,4826220,26220,LaPoynor ISD,107910,107910,119300,55799,86214,479,3697914,2024828,532954,2360795,0,8616491,17477.67,42.90%,23.50%,6.20%,27.40%,0.00%,0,0,C,79,46%,70%,39%,72%
531,4832250,32250,Neches ISD,1906,1906,124384,55385,76642,337,2249478,1461140,345361,1723751,0,5779730,17729.23,38.90%,25.30%,6.00%,29.80%,0.00%,2750200,8900,A,90,38%,42%,46%,44%
532,4813200,13200,Cayuga ISD,1902,1902,98000,59705,85697,577,4301897,3271374,1449372,3249268,0,12271911,20835.16,35.10%,26.70%,11.80%,26.50%,0.00%,0,0,B,88,32%,50%,49%,44%
533,4840500,40500,Slocum ISD,1909,1909,136500,63634,96250,323,3086260,1337828,309734,1226357,0,5960179,17952.35,51.80%,22.40%,5.20%,20.60%,0.00%,3661178,14528,B,82,32%,42%,56%,51%
534,4843290,43290,Westwood ISD,1908,1908,175183,53705,73572,1387,7789807,6279385,17618796,6086830,0,37774818,27673.86,20.60%,16.60%,46.60%,16.10%,0.00%,51380375,44485,D,65,61%,72%,73%,68%
535,4834050,34050,Palestine ISD,1907,1907,181274,52144,101199,3186,22226875,13216136,4124653,14339369,0,53907033,16602.1,41.20%,24.50%,7.70%,26.60%,0.00%,65299237,23642,C,75,54%,56%,61%,61%
536,4834770,34770,Pettus ISD,13903,13903,152000,56294,94697,377,3078333,1896298,2222565,2197358,618,9395172,23844.05,32.80%,20.20%,23.70%,23.40%,0.00%,38397493,132405,B,83,46%,60%,49%,66%
537,4821030,21030,Goliad ISD,88902,88902,156550,56056,86670,1244,7666571,5771624,9244384,5838972,0,28521551,22282.46,26.90%,20.20%,32.40%,20.50%,0.00%,127670675,118543,C,79,45%,57%,50%,56%
538,4825440,25440,Kenedy ISD,128902,128902,133500,60173,85650,758,6443233,3734014,3095167,2693273,673865,16639552,20734.66,38.70%,22.40%,18.60%,16.20%,4.00%,24140652,32317,C,77,58%,70%,65%,76%
539,4834410,34410,Pawnee ISD,13902,13902,120000,68400,110242,630,5051139,3981214,1163642,3365800,32352,13594147,23503.98,37.20%,29.30%,8.60%,24.80%,0.20%,1228078,3310,B,82,44%,66%,17%,59%
540,4809720,9720,Beeville ISD,13901,13901,216360,58687,97403,3033,18929990,13986831,10130317,12543428,0,55590566,17926.66,34.10%,25.20%,18.20%,22.60%,0.00%,86541327,33247,C,75,58%,69%,53%,70%
541,4838310,38310,Runge ISD,128903,128903,114820,57597,91864,162,1448437,1163541,3941668,1767041,2311603,10632290,42452.48,13.60%,10.90%,37.10%,16.60%,21.70%,6930591,68620,D,64,75%,87%,77%,82%
542,4821000,21000,Goldthwaite Cons ISD,167901,167901,125000,55914,82282,516,5368775,2847361,1839809,2569095,0,12625040,23686.75,42.50%,22.60%,14.60%,20.30%,0.00%,26896600,56864,B,87,30%,37%,32%,46%
543,4827960,27960,Lometa ISD,141902,141902,88179,54327,75000,316,2661974,1109187,1415245,1622766,0,6809172,21278.66,39.10%,16.30%,20.80%,23.80%,0.00%,6211280,14181,B,82,65%,79%,58%,66%
544,4823700,23700,Hubbard ISD (Bowie),19913,19913,76082,47608,76082,64,733370,176803,120625,575761,0,1606559,23978.49,45.60%,11.00%,7.50%,35.80%,0.00%,0,0,C,75,59%,62%,101%,80%
545,4823370,23370,Holland ISD,14905,14905,134000,56805,86465,646,5130610,3730536,754509,2750150,0,12365805,19382.14,41.50%,30.20%,6.10%,22.20%,0.00%,8912700,14469,A,90,29%,41%,33%,26%
546,4808230,8230,Anderson-Shiro Cons ISD,93901,93901,133000,60484,89804,979,6288740,3366072,3214258,3161513,0,16030583,16594.81,39.20%,21.00%,20.10%,19.70%,0.00%,26556749,27808,B,86,33%,40%,43%,46%
547,4832190,32190,Navasota ISD,93904,93904,228483,62206,95351,3117,17998306,10126460,9942968,13988353,0,52056087,17180.23,34.60%,19.50%,19.10%,26.90%,0.00%,87118680,29979,C,73,55%,72%,64%,68%
548,4814670,14670,Columbia-Brazoria ISD,20907,20907,209858,61947,92855,2871,16743742,10594497,37070688,8509071,0,72917998,24684.49,23.00%,14.50%,50.80%,11.70%,0.00%,180576040,68791,C,74,50%,63%,55%,56%
549,4816260,16260,Damon ISD,20910,20910,142500,59946,142500,107,1202335,622384,280229,784638,0,2889586,28329.27,41.60%,21.50%,9.70%,27.20%,0.00%,992513,11816,C,78,48%,63%,87%,75%
550,4832310,32310,Needville ISD,79906,79906,261283,68911,124852,3650,22488881,10375790,28812770,11384176,0,73061617,20306.17,30.80%,14.20%,39.40%,15.60%,0.00%,225414419,65872,A,90,31%,38%,44%,37%
551,4838190,38190,Royal ISD,237905,237905,189000,65940,104104,2884,17560168,10506281,22810950,11620336,0,62497735,22901.33,28.10%,16.80%,36.50%,18.60%,0.00%,227853948,86505,D,65,68%,73%,71%,77%
552,4839630,39630,Sealy ISD,8902,8902,191000,56666,97059,3109,16302228,8914399,6202887,8531018,0,39950532,13307.97,40.80%,22.30%,15.50%,21.40%,0.00%,61407475,20394,C,75,51%,60%,63%,56%
553,4817830,17830,East Bernard ISD,241902,241902,133500,58398,92660,997,6326600,3129608,1440078,3500908,0,14397194,14368.46,43.90%,21.70%,10.00%,24.30%,0.00%,29922275,29597,B,86,37%,48%,25%,44%
554,4810780,10780,Boling ISD,241901,241901,145000,54785,93400,1151,5556471,3597022,40535,5353363,0,14547391,12705.14,38.20%,24.70%,0.30%,36.80%,0.00%,0,0,C,78,45%,62%,52%,58%
555,4844470,44470,Brazos ISD,8903,8903,189538,58095,91555,866,5265017,3356589,2013282,3727823,0,14362711,16720.27,36.70%,23.40%,14.00%,26.00%,0.00%,13791582,16187,B,84,42%,57%,40%,57%
556,4833010,33010,North Lamar ISD,139911,139911,153351,55849,79920,2395,15334608,8759483,22337034,7954832,0,54385957,22928.31,28.20%,16.10%,41.10%,14.60%,0.00%,73049306,36506,C,76,43%,58%,47%,49%
557,4823460,23460,Honey Grove ISD,74907,74907,165000,57929,88623,651,5294351,3787312,4234692,2823425,0,16139780,26116.15,32.80%,23.50%,26.20%,17.50%,0.00%,8298525,14432,B,89,40%,47%,42%,51%
558,4834290,34290,Paris ISD,139909,139909,170100,57475,93238,3832,27248476,14201207,9237267,12005698,0,62692648,16208.03,43.50%,22.70%,14.70%,19.20%,0.00%,59439501,16992,C,79,56%,63%,54%,62%
559,4816890,16890,Detroit ISD,194905,194905,112379,56952,81500,488,4965636,3487261,443794,2968267,0,11864958,23873.15,41.90%,29.40%,3.70%,25.00%,0.00%,4620650,11270,D,69,63%,62%,56%,71%
560,4835740,35740,Prairiland ISD,139912,139912,130000,55672,86318,1105,7115265,3563842,12957264,4237403,0,27873774,24909.54,25.50%,12.80%,46.50%,15.20%,0.00%,37589578,34741,B,83,41%,58%,48%,61%
561,4800012,12,Chisum ISD,139905,139905,180886,61132,104909,1184,8327223,4275199,8230581,3899620,0,24732623,20696.76,33.70%,17.30%,33.30%,15.80%,0.00%,75591600,69927,B,81,34%,52%,40%,48%
562,4828830,28830,Malta ISD,19910,19910,109935,59676,80648,223,1261926,388528,199059,500424,0,2349937,11084.61,53.70%,16.50%,8.50%,21.30%,0.00%,533500,3705,B,84,39%,44%,.,59%
563,4823490,23490,Hooks ISD,19902,19902,9200,52063,109440,914,5371655,3484261,3407887,3598869,0,15862672,17823.23,33.90%,22.00%,21.50%,22.70%,0.00%,24265981,33424,B,84,36%,55%,53%,49%
564,4827060,27060,Leary ISD,19914,19914,110000,46161,110000,119,770537,235733,31550,460321,0,1498141,12484.51,51.40%,15.70%,2.10%,30.70%,0.00%,0,0,D,61,60%,93%,101%,90%
565,4842480,42480,Texarkana ISD,19907,19907,268510,52749,95940,7269,47941542,29442849,51847228,29282161,0,158513780,21785.84,30.20%,18.60%,32.70%,18.50%,0.00%,291717275,42125,D,69,55%,66%,57%,66%
566,4836630,36630,Red Lick ISD,19911,19911,137800,54822,83650,504,3138486,1594495,1100547,1911810,0,7745338,14923.58,40.50%,20.60%,14.20%,24.70%,0.00%,3511119,7683,A,91,19%,45%,35%,41%
567,4827390,27390,Liberty-Eylau ISD,19908,19908,168000,55904,85049,1937,13346779,8725514,1960138,5500749,0,29533180,14878.18,45.20%,29.50%,6.60%,18.60%,0.00%,30551700,18483,D,63,66%,77%,70%,79%
568,4835130,35130,Pleasant Grove ISD,19912,19912,199783,57320,92958,2366,13347292,6142182,23741053,10558308,0,53788835,23653.84,24.80%,11.40%,44.10%,19.60%,0.00%,127515189,62784,B,88,28%,45%,37%,43%
569,4814280,14280,Clear Creek ISD,84910,84910,327792,69357,128239,39684,248542766,119098997,131424920,97459635,0,596526318,14864.11,41.70%,20.00%,22.00%,16.30%,0.00%,1475001079,41478,B,86,34%,45%,37%,45%
570,4809450,9450,Barbers Hill ISD,36902,36902,489143,80786,119019,7875,62703594,33085415,86185449,23761711,10278175,216014344,26639.41,29.00%,15.30%,39.90%,11.00%,4.80%,562092566,71723,A,93,27%,30%,33%,31%
571,4808190,8190,Anahuac ISD,36901,36901,189286,67786,74793,1552,9781688,5716853,35305033,5765934,0,56569508,36567.23,17.30%,10.10%,62.40%,10.20%,0.00%,98722992,65207,C,72,58%,70%,47%,65%
572,4839270,39270,Santa Fe ISD,84909,84909,186599,64362,114375,4310,25533003,19112059,6345000,12500626,0,63490688,14439.55,40.20%,30.10%,10.00%,19.70%,0.00%,104136535,26661,B,81,44%,57%,47%,58%
573,4842510,42510,Texas City ISD,84906,84906,243110,66355,114088,7711,57450301,38573054,57916332,40211602,784222,194935511,24657.26,29.50%,19.80%,29.70%,20.60%,0.40%,468274992,68733,C,73,61%,73%,67%,75%
574,4823310,23310,Hitchcock ISD,84908,84908,225750,67942,104183,2012,13376979,8565344,37228301,9974529,0,69145153,36411.35,19.30%,12.40%,53.80%,14.40%,0.00%,96649148,55673,C,74,61%,81%,63%,69%
575,4820280,20280,Galveston ISD,84902,84902,229745,61984,109088,6383,42600245,29415198,88333936,21448336,27654038,209451753,28203.18,20.30%,14.00%,42.20%,10.20%,13.20%,512284137,93041,C,76,57%,70%,67%,70%
576,4817070,17070,Dickinson ISD,84901,84901,255001,64740,119410,12554,85544745,41485213,43305342,35525160,0,205860460,16348.51,41.60%,20.20%,21.00%,17.30%,0.00%,673519059,56310,B,86,50%,61%,52%,57%
577,4816200,16200,Dalhart ISD,56901,56901,164320,51609,97485,1846,8759936,3461867,10201517,6873861,0,29297181,16385.45,29.90%,11.80%,34.80%,23.50%,0.00%,59085838,34695,C,72,61%,67%,52%,64%
578,4822680,22680,Hartley ISD,103902,103902,128884,46373,86520,236,1672365,899627,427209,1210985,0,4210186,17325.87,39.70%,21.40%,10.10%,28.80%,0.00%,4212950,16988,A,95,39%,47%,59%,66%
579,4841670,41670,Stratford ISD,211902,211902,161385,56827,83491,527,4016212,1560795,1180022,2153250,51818,8962097,16685.92,44.80%,17.40%,13.20%,24.00%,0.60%,4753792,12610,B,83,39%,56%,49%,43%
580,4842570,42570,Texline ISD,56902,56902,103000,59569,95000,225,1566514,689298,769586,1307187,0,4332585,19965.83,36.20%,15.90%,17.80%,30.20%,0.00%,1713100,7752,A,90,24%,24%,43%,42%
581,4813620,13620,Channing ISD,103901,103901,104299,55569,78997,121,891827,506293,21788,925484,0,2345392,18323.38,38.00%,21.60%,0.90%,39.50%,0.00%,0,0,A,90,60%,68%,92%,74%
582,4825870,25870,Knox City-O'Brien Cons ISD,138902,138902,104900,53927,70855,195,1881928,1146304,0,1694237,0,4722469,23612.35,39.90%,24.30%,0.00%,35.90%,0.00%,0,0,A,95,36%,35%,41%,72%
583,4822020,22020,Guthrie CSD,135001,135001,96000,64857,85000,93,1354914,886155,880030,1484468,15177,4620744,46995.58,29.30%,19.20%,19.00%,32.10%,0.30%,544253,9225,A,94,33%,43%,40%,37%
584,4839780,39780,Seymour ISD,12901,12901,140000,50633,83562,594,4220832,2653863,1470741,3530532,0,11875968,18761.4,35.50%,22.30%,12.40%,29.70%,0.00%,1248900,2139,B,87,39%,32%,46%,41%
585,4815870,15870,Crowell ISD,78901,78901,412962,55096,88001,189,1389199,925171,2269649,1222086,89648,5895753,29622.98,23.60%,15.70%,38.50%,20.70%,1.50%,2677500,20756,A,91,53%,51%,54%,51%
586,4822620,22620,Harrold ISD,244901,244901,113500,57461,74000,154,1273983,660949,327209,886383,0,3148524,20713.97,40.50%,21.00%,10.40%,28.20%,0.00%,17034919,86913,A,90,43%,57%,56%,74%
587,4831970,31970,Munday Cons ISD,138903,138903,120831,56920,89990,421,3210128,1617740,3815051,2029015,0,10671934,25965.78,30.10%,15.20%,35.70%,19.00%,0.00%,8629700,25014,A,91,41%,59%,57%,55%
588,4844110,44110,Vernon ISD,244903,244903,17811,55303,88430,1729,11538667,6923646,3671947,6452704,0,28586964,16159.96,40.40%,24.20%,12.80%,22.60%,0.00%,57359963,37368,C,77,63%,72%,63%,68%
589,4833630,33630,Olney ISD,252903,252903,145003,55912,87644,691,6113888,4061006,1054873,3633035,0,14862802,20415.94,41.10%,27.30%,7.10%,24.40%,0.00%,3365200,5656,B,87,37%,43%,36%,43%
590,4809980,9980,Benjamin ISD,138904,138904,114000,58126,93000,94,1324805,803916,7694935,1462481,0,11286137,108520.55,11.70%,7.10%,68.20%,13.00%,0.00%,23445150,360695,B,84,39%,52%,45%,72%
591,4842780,42780,Throckmorton Collegiate ISD,224901,224901,110000,55743,81037,144,1355891,836551,21240124,2766608,145445,26344619,199993.69,5.10%,3.20%,80.60%,10.50%,0.60%,33715113,426774,B,87,49%,67%,36%,67%
592,4830570,30570,Midland ISD,165901,165901,325000,65601,107924,29651,152819188,94155217,38298841,147007607,91666346,523947199,15034.81,29.20%,18.00%,7.30%,28.10%,17.50%,1711583311,61561,C,72,56%,62%,61%,63%
593,4808280,8280,Andrews ISD,2901,2901,250048,62946,102284,4209,26192369,17144845,34300224,11224479,22607559,111469476,20815.63,23.50%,15.40%,30.80%,10.10%,20.30%,82742791,20471,C,78,51%,57%,48%,60%
594,4836570,36570,Reagan County ISD,192901,192901,146185,52745,75434,855,6554596,4460390,34645343,4789566,49580856,100030751,62283.82,6.60%,4.50%,34.60%,4.80%,49.60%,95557450,127410,C,73,54%,68%,55%,72%
595,4836510,36510,Rankin ISD,231902,231902,140000,63351,99426,301,4419002,3147673,27870444,3793309,91349036,130579464,132984.5,3.40%,2.40%,21.30%,2.90%,70.00%,94831226,361951,A,92,38%,44%,40%,49%
596,4841430,41430,Stanton ISD,156902,156902,179273,61173,90000,1062,8798514,5056620,8056822,4479329,40385797,66777082,25376.24,13.20%,7.60%,12.10%,6.70%,60.50%,4765250,5734,B,81,46%,53%,53%,59%
597,4820790,20790,Glasscock County ISD,87901,87901,120000,69921,102000,293,3739736,2390095,10250765,3001868,0,19382464,66378.3,19.30%,12.30%,52.90%,15.50%,0.00%,6717750,28708,A,93,15%,27%,31%,26%
598,4818000,18000,Ector County ISD,68901,68901,553912,64755,110255,33663,179738851,105592531,71023161,109738571,0,466093114,13944.03,38.60%,22.70%,15.20%,23.50%,0.00%,596523918,20669,D,69,60%,67%,71%,69%
599,4821750,21750,Greenwood ISD,165902,165902,210026,73227,108079,3373,23069216,12145789,25497906,10793313,17422025,88928249,21954.63,25.90%,13.70%,28.70%,12.10%,19.60%,540390062,165917,C,78,47%,57%,56%,62%
600,4842960,42960,Tomball ISD,101921,101921,469638,68673,125511,22913,131797875,61845357,186003313,62905901,0,442552446,19869.46,29.80%,14.00%,42.00%,14.20%,0.00%,1288234934,55901,A,92,24%,29%,29%,31%
601,4825740,25740,Klein ISD,101915,101915,412519,68103,109886,52437,347151961,193372484,268822762,159399397,0,968746604,18246.22,35.80%,20.00%,27.70%,16.50%,0.00%,1997027424,42888,B,86,40%,49%,41%,48%
602,4844430,44430,Waller ISD,237904,237904,340000,67653,110977,9905,56680546,32935823,185635414,23328009,0,298579792,32164.15,19.00%,11.00%,62.20%,7.80%,0.00%,1164517380,118647,C,76,52%,67%,52%,60%
603,4816110,16110,Cypress-Fairbanks ISD,101907,101907,458908,68146,113536,117927,769278841,360813322,546910830,264692860,0,1941695853,16389.77,39.60%,18.60%,28.20%,13.60%,0.00%,4764461549,44565,B,85,38%,51%,39%,47%
604,4815000,15000,Conroe ISD,170902,170902,365881,65314,117151,72914,435168600,239880571,367232117,127118134,0,1169399422,16162.64,37.20%,20.50%,31.40%,10.90%,0.00%,3046297065,44278,B,85,36%,43%,36%,41%
605,4828740,28740,Magnolia ISD,170906,170906,320088,61608,114604,14916,83232544,44711217,160552255,39833522,0,328329538,22693.5,25.40%,13.60%,48.90%,12.10%,0.00%,443399077,30721,B,86,40%,49%,40%,42%
606,4811850,11850,Buckholts ISD,166907,166907,137212,59989,97000,112,1344621,608753,117274,873023,0,2943671,25376.47,45.70%,20.70%,4.00%,29.70%,0.00%,91818,1032,C,72,60%,76%,68%,84%
607,4830690,30690,Milano ISD,166903,166903,132600,54586,79464,423,3115206,1899437,528034,2107652,0,7650329,18613.94,40.70%,24.80%,6.90%,27.50%,0.00%,7288973,19753,A,91,30%,45%,43%,51%
608,4825530,25530,Kerens ISD,175907,175907,133308,54812,83747,657,4508244,2888699,2411923,2867900,0,12676766,20121.85,35.60%,22.80%,19.00%,22.60%,0.00%,20640740,28470,B,81,54%,66%,70%,70%
609,4825320,25320,Kemp ISD,129904,129904,185000,58512,88374,1987,12384438,7730994,5949535,5962733,0,32027700,16282.51,38.70%,24.10%,18.60%,18.60%,0.00%,16565424,7543,D,68,58%,66%,56%,64%
610,4815330,15330,Corsicana ISD,175903,175903,196000,60775,95162,5998,35180052,22881340,6676051,21823394,0,86560837,14248.7,40.60%,26.40%,7.70%,25.20%,0.00%,101316942,18773,D,69,63%,69%,60%,68%
611,4815840,15840,Cross Roads ISD,107904,107904,232790,52696,75000,558,3738610,2256555,474165,2808880,0,9278210,16509.27,40.30%,24.30%,5.10%,30.30%,0.00%,3846400,6956,B,85,38%,42%,38%,41%
612,4828780,28780,Malakoff ISD,107906,107906,125486,59392,88626,1511,9816866,6424892,42126589,5945834,3492981,67807162,44631.63,14.50%,9.50%,62.10%,8.80%,5.20%,102078953,79315,B,89,40%,60%,41%,53%
613,4843170,43170,Trinidad ISD,107907,107907,93000,50877,70000,173,1469760,588296,125999,1058596,0,3242651,20786.22,45.30%,18.10%,3.90%,32.60%,0.00%,396775,1908,C,73,63%,72%,59%,79%
614,4818940,18940,Fairfield ISD,81902,81902,170000,56188,80845,1602,11094824,6876195,4133718,8904119,194147,31203003,18568.18,35.60%,22.00%,13.20%,28.50%,0.60%,7173949,5248,C,77,47%,58%,52%,55%
615,4830720,30720,Mildred ISD,175910,175910,122966,58468,82312,838,5039860,2731045,3819482,3050745,0,14641132,17492.39,34.40%,18.70%,26.10%,20.80%,0.00%,42346967,53468,B,83,41%,52%,42%,50%
616,4846590,46590,Yantis ISD,250905,250905,115000,51726,77034,305,2448283,1187872,194967,1830523,3735,5665380,16269.09,43.20%,21.00%,3.40%,32.30%,0.10%,0,0,C,79,53%,58%,61%,56%
617,4836360,36360,Rains ISD,190903,190903,170000,53996,89665,1712,10790014,7470040,1062875,5168047,0,24490976,14091.47,44.10%,30.50%,4.30%,21.10%,0.00%,9552975,7113,C,78,54%,68%,64%,65%
618,4836300,36300,Quitman ISD,250904,250904,138740,53855,91500,1208,7895768,4775594,1245368,5222602,0,19139332,15817.63,41.30%,25.00%,6.50%,27.30%,0.00%,11640575,10778,B,84,39%,56%,40%,51%
619,4825890,25890,Kopperl ISD,18907,18907,107464,59227,72000,191,1255265,936457,261054,916804,0,3369580,19037.18,37.30%,27.80%,7.70%,27.20%,0.00%,0,0,D,66,55%,72%,52%,73%
620,4844520,44520,Walnut Springs ISD,18905,18905,113999,61186,82500,165,1437900,717516,30925,1453694,0,3640035,20919.74,39.50%,19.70%,0.80%,39.90%,0.00%,0,0,F,59,70%,84%,52%,68%
621,4818330,18330,Electra ISD,243902,243902,129150,54933,91625,442,3282265,2120153,1270754,2239887,0,8913059,20074.46,36.80%,23.80%,14.30%,25.10%,0.00%,13293753,35169,C,77,57%,71%,63%,62%
622,4823400,23400,Holliday ISD,5902,5902,153480,57600,89533,1120,7481695,3175282,12480346,3190443,0,26327766,23257.74,28.40%,12.10%,47.40%,12.10%,0.00%,74089781,69699,A,91,29%,43%,40%,53%
623,4824260,24260,Iowa Park Cons ISD,243903,243903,172411,62003,57788,1904,11977473,5693696,3202778,6460647,0,27334594,14104.54,43.80%,20.80%,11.70%,23.60%,0.00%,33158465,17415,A,91,31%,35%,36%,40%
624,4814130,14130,City View ISD,243906,243906,141021,53205,92111,1152,8661395,5106273,1856289,6580791,0,22204748,18978.42,39.00%,23.00%,8.40%,29.60%,0.00%,14906350,13157,B,82,49%,56%,55%,55%
625,4837590,37590,Rockdale ISD,166904,166904,180000,58044,90375,1482,10297886,7110355,16501262,5730351,0,39639854,26147.66,26.00%,17.90%,41.60%,14.50%,0.00%,69303063,49822,C,73,51%,67%,56%,70%
626,4809540,9540,Bartlett ISD,14902,14902,164654,52668,83185,393,3484455,2291756,4257188,2332857,0,12366256,28169.15,28.20%,18.50%,34.40%,18.90%,0.00%,42533364,125838,C,74,72%,86%,62%,81%
627,4810620,10620,Bluff Dale ISD,72904,72904,124800,53411,97335,219,1356222,838194,353660,1186765,57240,3792081,16899.73,35.80%,22.10%,9.30%,31.30%,1.50%,7095610,47622,C,79,41%,53%,56%,34%
628,4842900,42900,Tolar ISD,111903,111903,135325,56812,83324,884,5092347,2543114,3164975,3174954,0,13975390,15391.4,36.40%,18.20%,22.60%,22.70%,0.00%,11642362,13230,B,85,43%,54%,24%,42%
629,4824360,24360,Iredell ISD,18906,18906,97850,51883,75000,144,1199664,557552,271793,794838,0,2823847,20917.39,42.50%,19.70%,9.60%,28.10%,0.00%,6190600,54784,A,95,42%,70%,50%,59%
630,4841520,41520,Stephenville ISD,72903,72903,207480,56518,87763,3578,20315937,11519279,31262080,11025154,0,74122450,20152.92,27.40%,15.50%,42.20%,14.90%,0.00%,155053635,47374,B,87,37%,43%,42%,43%
631,4823070,23070,Hico ISD,97903,97903,141960,56773,84604,627,4226203,1970279,2543921,2879892,0,11620295,18072,36.40%,17.00%,21.90%,24.80%,0.00%,2932346,4707,C,79,39%,65%,51%,49%
