FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
68,4832430,32430,New Deal ISD,152902,152902,166000,52358,99507,731,4894418,2773841,16415627,3278611,0,27362497,35767.97,17.90%,10.10%,60.00%,12.00%,0.00%,68507316,97036,C,76,47%,70%,43%,60%
69,4814820,14820,Commerce ISD,116903,116903,183340,60233,91746,1542,12375210,7713968,37599816,7045513,0,64734507,41523.1,19.10%,11.90%,58.10%,10.90%,0.00%,125311231,82333,D,68,57%,69%,65%,73%
70,4833090,33090,Northside ISD (Wilbarger),244905,244905,118612,65554,81877,227,1315482,855312,134130,1461697,0,3766621,16096.67,34.90%,22.70%,3.60%,38.80%,0.00%,940749,4680,B,86,28%,38%,70%,58%
71,4827990,27990,London ISD,178906,178906,190000,55936,82350,1808,7329708,4392993,35603095,5311362,0,52637158,30496.62,13.90%,8.30%,67.60%,10.10%,0.00%,142678396,70181,B,89,22%,33%,24%,31%
72,4838820,38820,San Diego ISD,66902,66902,189837,59683,82745,1453,9204351,5509610,5603564,7979384,0,28296909,18702.52,32.50%,19.50%,19.80%,28.20%,0.00%,39061766,30327,B,87,52%,59%,62%,62%
73,4841100,41100,Spring Branch ISD,101920,101920,349066,69812,126223,32668,212579817,124512344,243413960,100493479,1197012,682196612,20384.94,31.20%,18.30%,35.70%,14.70%,0.20%,1617634026,54648,B,80,40%,44%,43%,48%
74,4841220,41220,Spring ISD,101919,101919,295800,63209,114931,33590,211077624,141410727,121054501,113292229,0,586835081,17292.92,36.00%,24.10%,20.60%,19.30%,0.00%,1220529174,42246,D,65,61%,72%,65%,74%
75,4823820,23820,Huffman ISD,101925,101925,308682,62795,99396,3646,21702469,14252400,8020960,14324415,0,58300244,15846.76,37.20%,24.40%,13.80%,24.60%,0.00%,174248055,55055,C,71,55%,63%,57%,63%
76,4820250,20250,Galena Park ISD,101910,101910,335000,68790,120251,20862,147012595,96346060,68047029,65328991,0,376734675,17850.49,39.00%,25.60%,18.10%,17.30%,0.00%,479300607,25375,B,87,47%,51%,56%,61%
77,4816650,16650,Dell City ISD,115903,115903,130609,56545,130609,76,880393,466471,12824,1153115,0,2512803,34900.04,35.00%,18.60%,0.50%,45.90%,0.00%,0,0,B,84,59%,71%,67%,78%
78,4821270,21270,Gorman ISD,67904,67904,115000,52561,82500,242,2665469,2339152,344418,2808237,0,8157276,33025.41,32.70%,28.70%,4.20%,34.40%,0.00%,3802000,18546,C,72,53%,78%,32%,55%
79,4817960,17960,Eastland ISD,67903,67903,159000,51313,94966,969,6938197,2671640,994688,4595058,0,15199583,14245.16,45.60%,17.60%,6.50%,30.20%,0.00%,10931856,11224,B,81,36%,58%,43%,50%
80,4827600,27600,Lingleville ISD,72909,72909,168600,55035,93600,270,1808665,1277778,452982,1047846,0,4587271,16741.86,39.40%,27.90%,9.90%,22.80%,0.00%,9417551,45277,B,88,49%,61%,66%,65%
81,4837230,37230,Rising Star ISD,67908,67908,85500,49450,46988,181,1482858,910042,9672,1799248,0,4201820,21658.87,35.30%,21.70%,0.20%,42.80%,0.00%,0,0,D,69,59%,83%,64%,73%
82,4810950,10950,Bovina ISD,185901,185901,105472,59447,75544,422,3594387,1494326,436305,2438991,0,7964009,17737.21,45.10%,18.80%,5.50%,30.60%,0.00%,26854385,64866,C,72,59%,71%,75%,79%
