34902,AVINGER ISD,117,123,137,126
34903,HUGHES SPRINGS ISD,1117,1149,1146,1271
34905,LINDEN-KILDARE CISD,654,660,638,697
34906,MCLEOD ISD,428,414,400,382
34907,QUEEN CITY ISD,926,954,935,1039
34909,BLOOMBURG ISD,243,256,241,277
35901,DIMMITT ISD,1088,1097,1158,1232
35902,HART ISD,212,207,211,232
35903,NAZARETH ISD,247,250,250,250
36901,ANAHUAC ISD,1547,1493,1397,1338
36902,BARBERS HILL ISD,7723,7339,6818,5390
36903,EAST CHAMBERS ISD,1563,1556,1542,1519
37901,ALTO ISD,504,536,556,671
37904,JACKSONVILLE ISD,4834,4909,4743,4992
37907,RUSK ISD,2057,2055,2001,2110
37908,NEW SUMMERFIELD ISD,511,515,538,544
37909,WELLS ISD,242,259,258,286
38901,CHILDRESS ISD,976,1005,1014,1114
39902,HENRIETTA ISD,954,994,945,958
39903,PETROLIA CISD,476,473,463,516
39904,BELLEVUE ISD,181,167,151,126
39905,MIDWAY ISD,137,131,131,137
40901,MORTON ISD,354,353,361,390
40902,WHITEFACE CISD,325,329,313,324
41901,BRONTE ISD,224,235,238,248
41902,ROBERT LEE ISD,263,276,263,283
42901,COLEMAN ISD,794,794,802,885
42903,SANTA ANNA ISD,253,270,253,264
42905,PANTHER CREEK CISD,161,145,165,174
43801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,1437,1399,1386,1341
43802,IMAGINE LONE STAR INTERNATIONAL ACADEMY,234,174,146,111
43901,ALLEN ISD,21370,21769,21463,21159
43902,ANNA ISD,5470,5018,4447,3459
43903,CELINA ISD,4577,3897,3359,2576
43904,FARMERSVILLE ISD,2236,2115,2025,1639
43905,FRISCO ISD,66698,66916,65825,58450
43907,MCKINNEY ISD,23306,23342,23379,24959
43908,MELISSA ISD,6735,5654,4874,2792
43910,PLANO ISD,47899,48921,49400,53952
43911,PRINCETON ISD,8688,7837,6767,4381
43912,PROSPER ISD,28467,24983,21780,12133
43914,WYLIE ISD,19231,18850,18210,15769
43917,BLUE RIDGE ISD,1030,1009,961,825
43918,COMMUNITY ISD,4628,4143,3349,2262
43919,LOVEJOY ISD,4092,4254,4345,4222
44902,WELLINGTON ISD,544,530,543,588
45902,COLUMBUS ISD,1636,1610,1580,1539
45903,RICE CISD,1315,1286,1275,1362
45905,WEIMAR ISD,722,704,688,676
46802,TRINITY CHARTER SCHOOL,326,320,347,503
46901,NEW BRAUNFELS ISD,9779,9745,9676,8950
46902,COMAL ISD,29263,28511,27288,23105
47901,COMANCHE ISD,1364,1339,1304,1327
47902,DE LEON ISD,664,720,754,728
47903,GUSTINE ISD,129,141,145,141
47905,SIDNEY ISD,152,124,128,128
48901,EDEN CISD,221,215,222,223
48903,PAINT ROCK ISD,231,223,226,256
49901,GAINESVILLE ISD,3088,3096,3145,3080
49902,MUENSTER ISD,565,563,538,508
49903,VALLEY VIEW ISD,930,920,943,808
49905,CALLISBURG ISD,1191,1166,1140,1155
49906,ERA ISD,509,542,495,479
49907,LINDSAY ISD,484,486,490,496
49908,WALNUT BEND ISD,64,54,56,76
49909,SIVELLS BEND ISD,74,70,63,69
50901,EVANT ISD,204,203,213,243
50902,GATESVILLE ISD,2695,2708,2697,2788
50904,OGLESBY ISD,204,197,198,179
50909,JONESBORO ISD,319,329,339,322
50910,COPPERAS COVE ISD,7959,8043,8112,8173
51901,PADUCAH ISD,161,158,161,214
52901,CRANE ISD,1211,1179,1151,1156
53001,CROCKETT COUNTY CONSOLIDATED CSD,651,706,729,758
54901,CROSBYTON CISD,319,305,331,367
54902,LORENZO ISD,215,239,237,259
54903,RALLS ISD,441,453,484,525
55901,CULBERSON COUNTY-ALLAMOORE ISD,393,366,360,391
56901,DALHART ISD,1788,1770,1735,1773
56902,TEXLINE ISD,217,220,217,179
57802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,451,476,486,653
57803,UPLIFT EDUCATION,22815,23082,22183,17291
57804,TEXANS CAN ACADEMIES,3608,3790,5037,5811
57806,ADVANTAGE ACADEMY,971,1012,1138,1666
57807,LIFE SCHOOL,5734,5498,5558,5662
57808,UNIVERSAL ACADEMY,2103,2042,2055,2163
57809,NOVA ACADEMY,83,113,124,182
57810,ACADEMY OF DALLAS,354,269,245,432
57813,TRINITY BASIN PREPARATORY,6631,4761,4211,3152
57814,ACADEMY FOR ACADEMIC EXCELLENCE,343,358,297,521
57816,.,778,975,1067,2144
57819,JEAN MASSIEU ACADEMY,194,181,202,196
57827,NOVA ACADEMY SOUTHEAST,365,493,535,543
57828,WINFREE ACADEMY CHARTER SCHOOLS,1164,1153,1080,1299
57829,A+ ACADEMY,1649,1588,1551,1348
57830,INSPIRED VISION ACADEMY,1255,1270,1271,1322
57831,GATEWAY CHARTER ACADEMY,606,614,654,753
57833,EDUCATION CENTER INTERNATIONAL ACADEMY,438,461,501,544
57834,EVOLUTION ACADEMY CHARTER SCHOOL,678,678,669,809
57835,GOLDEN RULE CHARTER SCHOOL,1397,1450,1557,1441
57836,ST ANTHONY SCHOOL,330,330,316,335
57839,LA ACADEMIA DE ESTRELLAS,1010,1001,985,1088
57840,RICHLAND COLLEGIATE HIGH SCHOOL,275,264,336,582
57841,CITYSCAPE SCHOOLS,1230,1245,1256,740
57844,MANARA ACADEMY,600,493,541,879
57845,UME PREPARATORY ACADEMY,1567,1493,1365,790
57846,LEGACY PREPARATORY,1248,1383,1464,1393
57847,VILLAGE TECH SCHOOLS,1322,1316,1232,920
57848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),22780,22139,20538,16131
57850,PIONEER TECHNOLOGY & ARTS ACADEMY,2603,2462,2226,289
57851,BRIDGEWAY PREPARATORY ACADEMY,125,117,96,.
