NAME,DISTRICT_N,DISTRICT_GRADE,DISTRICT_SCORE
White Settlement ISD,220920,C,73
Castleberry ISD,220917,B,81
Hurst-Euless-Bedford ISD,220916,B,88
Lake Worth ISD,220910,D,62
Aledo ISD,184907,A,92
Kennedale ISD,220914,C,77
Azle ISD,220915,C,78
Arlington ISD,220901,C,76
Eagle Mountain-Saginaw ISD,220918,C,78
Birdville ISD,220902,C,79
Crowley ISD,220912,C,73
Everman ISD,220904,C,72
Godley ISD,126911,C,77
Fort Worth ISD,220905,C,73
Burleson ISD,126902,B,83
Joshua ISD,126905,B,86
Lamar Cons ISD,79901,B,88
Angleton ISD,20902,B,82
Katy ISD,101914,B,88
Alvin ISD,20901,B,84
Stafford MSD,79910,C,78
Alief ISD,101903,C,75
Houston ISD,101912,B,82
Fort Bend ISD,79907,B,80
Anthony ISD,71906,B,80
Canutillo ISD,71907,C,78
Lackland ISD,15913,B,81
Southwest ISD,15912,C,77
Pleasanton ISD,7905,C,74
Somerset ISD,15909,B,84
Poteet ISD,7906,C,72
Southside ISD,15917,C,79
Edgewood ISD (Bexar),15905,D,66
Harlandale ISD,15904,D,69
South San Antonio ISD,15908,D,65
Eanes ISD,227909,A,94
Austin ISD,227901,C,79
Lake Travis ISD,227913,A,90
Lago Vista ISD,227912,C,77
Marble Falls ISD,27904,C,75
Fabens ISD,71903,C,76
Fort Hancock ISD,115901,D,69
Tornillo ISD,71908,B,82
Spurger ISD,229905,C,79
Colmesneil ISD,229901,D,66
Jasper ISD,121904,D,69
Kirbyville Cons ISD,121905,C,77
Randolph Field ISD,15906,A,92
Schertz-Cibolo-Universal City ISD,94902,B,81
North East ISD,15910,C,78
Alamo Heights ISD,15901,B,87
Judson ISD,15916,D,69
Northside ISD (Bexar),15915,C,75
Boerne ISD,130901,A,92
Comal ISD,46902,B,87
San Antonio ISD,15907,C,72
Fort Sam Houston ISD,15914,A,92
Edinburg Cons ISD,108904,B,83
La Joya ISD,108912,C,78
Roma ISD,214903,A,91
Jim Hogg County ISD,124901,C,79
Rio Grande City Grulla ISD,214901,B,82
San Isidro ISD,214902,C,74
Zapata County ISD,253901,B,82
Kountze ISD,100903,C,78
Warren ISD,229904,C,75
West Hardin County Cons ISD,100908,C,73
Hardin ISD,146904,C,75
Onalaska ISD,187910,B,82
Goodrich ISD,187903,B,84
Shepherd ISD,204904,D,67
Coldspring-Oakhurst Cons ISD,204901,D,69
Groveton ISD,228901,C,75
Leggett ISD,187906,D,68
Big Sandy ISD (Polk),187901,A,93
Corrigan-Camden ISD,187904,B,83
Woodville ISD,229903,D,67
Chester ISD,229906,B,88
Livingston ISD,187907,C,72
La Vernia ISD,247903,B,85
East Central ISD,15911,C,72
Seguin ISD,94901,D,66
Marion ISD,94904,B,80
Floresville ISD,247901,C,78
Stockdale ISD,247906,B,85
Borger ISD,117901,B,82
Panhandle ISD,33902,A,91
Sanford-Fritch ISD,117903,C,74
Pampa ISD,90904,C,75
White Deer ISD,33904,B,86
Plemons-Stinnett-Phillips Cons ISD,117904,A,90
Miami ISD,197902,A,93
Deweyville ISD,176903,C,73
Nederland ISD,123905,B,88
Vidor ISD,181907,B,80
Buna ISD,121903,D,67
Evadale ISD,121906,B,85
Beaumont ISD,123910,D,68
Silsbee ISD,100904,D,69
Lumberton ISD,100907,C,77
Little Cypress-Mauriceville Cons ISD,181908,C,76
Bridge City ISD,181901,C,77
Port Arthur ISD,123907,D,64
Port Neches-Groves ISD,123908,B,83
Orangefield ISD,181905,B,82
West Orange-Cove Cons ISD,181906,D,68
Carrollton-Farmers Branch ISD,57903,B,82
Dallas ISD,57905,B,83
Richardson ISD,57916,C,79
Garland ISD,57909,B,84
Wylie ISD (Collin),43914,A,92
Burnet Cons ISD,27903,C,72
Georgetown ISD,246904,C,76
Round Rock ISD,246909,B,87
Hutto ISD,246906,C,76
Taylor ISD,246911,C,71
Granger ISD,246905,D,67
Jarrell ISD,246907,D,68
Leander ISD,246913,B,88
Liberty Hill ISD,246908,B,85
Florence ISD,246902,B,81
Caldwell ISD,26901,B,81
Gunter ISD,91917,B,84
Van Alstyne ISD,91908,B,89
Blue Ridge ISD,43917,C,78
Melissa ISD,43908,A,92
Anna ISD,43902,C,78
Lovejoy ISD,43919,A,94
Princeton ISD,43911,B,81
Aubrey ISD,61907,C,79
Celina ISD,43903,B,87
Pilot Point ISD,61903,C,77
Frisco ISD,43905,A,90
Allen ISD,43901,A,91
Lewisville ISD,61902,B,81
Denton ISD,61901,B,80
Little Elm ISD,61914,C,79
McKinney ISD,43907,B,88
Prosper ISD,43912,A,91
Plano ISD,43910,B,82
Socorro ISD,71909,B,85
Clint ISD,71901,B,84
Ysleta ISD,71905,B,89
El Paso ISD,71902,B,80
San Elizario ISD,71904,D,69
Gause ISD,166902,B,81
Bryan ISD,21902,C,76
Franklin ISD,198903,A,92
Calvert ISD,198902,D,62
Cameron ISD,166901,C,74
Hearne ISD,198905,D,64
Mumford ISD,198906,A,95
