NAME,DISTRICT_N,DISTRICT_GRADE,DISTRICT_SCORE
Rising Star ISD,67908,D,69
Bovina ISD,185901,C,72
Memphis ISD,96904,B,88
Adrian ISD,180903,B,83
Spur ISD,63903,B,89
Patton Springs ISD,63906,A,90
Nordheim ISD,62902,B,84
Yorktown ISD,62904,B,82
Westhoff ISD,62905,B,86
Devine ISD,163901,D,68
Farwell ISD,185902,A,90
Huckabay ISD,72908,A,94
Dublin ISD,72902,B,88
Morgan Mill ISD,72910,C,78
Early ISD,25909,B,80
Blanket ISD,25904,D,63
Brownwood ISD,25902,C,74
Rockport-Fulton ISD,4901,C,70
Natalia ISD,163903,F,59
San Marcos Cons ISD,105902,C,76
Quanah ISD,99903,C,79
Louise ISD,241906,B,84
Dimmitt ISD,35901,C,74
Jayton-Girard ISD,132902,A,93
Friona ISD,185903,C,77
Cherokee ISD,206903,B,88
Richland Springs ISD,206902,B,86
Port Aransas ISD,178908,B,86
Agua Dulce ISD,178901,C,78
Bishop Cons ISD,178902,A,91
Tuloso-Midway ISD,178912,B,81
Murchison ISD,107908,C,77
Driscoll ISD,178905,B,86
Robstown ISD,178909,D,68
West Oso ISD,178915,C,75
Flour Bluff ISD,178914,B,85
Frost ISD,175905,C,75
Red Oak ISD,70911,C,77
Hart ISD,35902,A,90
Cumby Collegiate ISD,112905,C,70
Sulphur Springs ISD,112901,B,81
Ingleside ISD,205903,B,83
Avalon ISD,70901,B,85
Maypearl ISD,70915,C,70
Waxahachie ISD,70912,C,76
Ennis ISD,70903,C,76
Palmer ISD,70910,B,88
Valentine ISD,122902,B,84
River Road ISD,188902,C,71
Highland Park ISD (Potter),188903,B,83
Medina ISD,10901,B,85
Balmorhea ISD,195902,B,88
Harts Bluff ISD,225907,B,84
Rivercrest ISD,194903,B,85
Newcastle ISD,252902,A,93
La Gloria ISD,125906,B,88
Hudson ISD,3902,B,89
Fayetteville ISD,75906,A,96
Schulenburg ISD,75903,C,73
Round Top-Carmine ISD,75908,B,89
La Grange ISD,75902,C,78
McDade ISD,11905,C,79
Alto ISD,37901,B,81
Westbrook ISD,168903,A,93
Dew ISD,81906,C,76
Meyersville ISD,62906,A,91
Nursery ISD,235904,A,93
Olfen ISD,200906,B,84
Pringle-Morse Cons ISD,98903,C,77
Ramirez CSD,66005,B,80
San Vicente ISD,22903,B,89
Walcott ISD,59902,A,91
Wildorado ISD,180904,B,88
Leveretts Chapel ISD,201904,C,79
Terlingua CSD,22004,F,53
Grandfalls-Royalty ISD,238904,F,57
Monahans-Wickett-Pyote ISD,238902,C,76
Alpine ISD,22901,B,81
Doss Cons CSD,86024,B,89
Brazosport ISD,20905,C,79
Danbury ISD,20904,B,85
Morgan ISD,18903,C,75
Prairie Lea ISD,28906,D,63
Sierra Blanca ISD,115902,C,77
Crane ISD,52901,C,72
Morton ISD,40901,D,66
Whiteface Cons ISD,40902,B,85
Elysian Fields ISD,102906,C,76
Hallsville ISD,102904,B,81
Marshall ISD,102902,C,73
New Diana ISD,230906,B,87
Karnack ISD,102901,C,74
Buffalo ISD,145901,B,85
Mexia ISD,147903,D,66
Teague ISD,81904,B,84
Poth ISD,247904,A,91
Hamshire-Fannett ISD,123914,B,83
Hardin-Jefferson ISD,100905,B,84
Jourdanton ISD,7902,C,78
Mathis ISD,205904,C,79
Skidmore-Tynan ISD,13905,B,88
Lockney ISD,77902,C,76
Turkey-Quitaque ISD,96905,A,95
Wimberley ISD,105905,B,86
Premont ISD,125905,C,79
Ben Bolt-Palito Blanco ISD,125902,B,82
Hondo ISD,163904,C,77
Lefors ISD,90902,D,69
New Braunfels ISD,46901,B,81
Edgewood ISD (Van Zandt),234903,B,80
Littlefield ISD,140904,C,77
Brackett ISD,136901,B,81
George West ISD,149901,A,91
Three Rivers ISD,149902,C,77
Utopia ISD,232904,A,91
D'Hanis ISD,163902,B,87
Iraan-Sheffield Collegiate ISD,186903,C,79
Athens ISD,107901,C,77
Rice Cons ISD,45903,C,73
Nueces Canyon Cons ISD,69902,B,80
Uvalde Cons ISD,232903,F,59
Dodd City ISD,74904,B,89
Moran ISD,209902,C,78
Lipan ISD,111902,B,85
Ezzell ISD,143906,B,83
Albany ISD,209901,B,81
Breckenridge ISD,215901,B,83
Santo ISD,182904,A,90
Millsap ISD,184904,B,82
Happy ISD,219901,B,84
Refugio ISD,196903,D,67
Woodsboro ISD,196902,C,74
Gordon ISD,182901,B,89
Strawn ISD,182905,B,88
Brownfield ISD,223901,D,69
Central ISD,3907,C,75
Chillicothe ISD,99902,B,86
Joaquin ISD,210902,A,91
Tenaha ISD,210904,D,65
Gary ISD,183904,C,75
Carthage ISD,183902,B,80
Richards ISD,93905,C,73
Fort Davis ISD,122901,D,68
Ganado ISD,120902,C,76
Palacios ISD,158905,B,83
Latexo ISD,113905,C,76
Alice ISD,125901,B,80
Orange Grove ISD,125903,B,87
Riviera ISD,137903,B,84
Gainesville ISD,49901,D,65
Walnut Bend ISD,49908,C,76
Bynum ISD,109902,B,88
Hubbard ISD (Hill),109905,C,77
Malone ISD,109908,B,88
Buena Vista ISD,186901,B,81
Fort Stockton ISD,186902,F,55
Denver City ISD,251901,C,79
Wortham ISD,81905,C,72
Pittsburg ISD,32902,A,90
Splendora ISD,170907,D,67
Center ISD,210901,C,77
Excelsior ISD,210906,F,53
