NAME,DISTRICT_N,Debt,Per-Pupil Debt
Dell City ISD,115903,$0.00,$0.00
Westbrook ISD,168903,$0.00,$0.00
Valentine ISD,122902,$0.00,$0.00
Fort Davis ISD,122901,$0.00,$0.00
Motley County ISD,173901,$0.00,$0.00
Terlingua CSD,22004,$0.00,$0.00
San Vicente ISD,22903,$0.00,$0.00
Marathon ISD,22902,$0.00,$0.00
Saltillo ISD,112909,$0.00,$0.00
Amherst ISD,140901,$0.00,$0.00
Roxton ISD,139908,$0.00,$0.00
Gause ISD,166902,$0.00,$0.00
Leary ISD,19914,$0.00,$0.00
Hubbard ISD (Bowie),19913,$0.00,$0.00
Boys Ranch ISD,180901,$0.00,$0.00
Comstock ISD,233903,$0.00,$0.00
Strawn ISD,182905,$0.00,$0.00
Excelsior ISD,210906,$0.00,$0.00
Ralls ISD,54903,$0.00,$0.00
Morton ISD,40901,$0.00,$0.00
Dew ISD,81906,$0.00,$0.00
Schleicher ISD,207901,$0.00,$0.00
Grandview-Hopkins ISD,90905,$0.00,$0.00
Quanah ISD,99903,$0.00,$0.00
Childress ISD,38901,$0.00,$0.00
Nueces Canyon CISD,69902,$0.00,$0.00
Woodson ISD,224902,$0.00,$0.00
Wills Point ISD,234907,$0.00,$0.00
Higgins ISD,148903,$0.00,$0.00
Texhoma ISD,211901,$0.00,$0.00
Murchison ISD,107908,$0.00,$0.00
La Gloria ISD,125906,$0.00,$0.00
LaPoynor ISD,107910,$0.00,$0.00
Cayuga ISD,1902,$0.00,$0.00
Meyersville ISD,62906,$0.00,$0.00
Yorktown ISD,62904,$0.00,$0.00
Westhoff ISD,62905,$0.00,$0.00
Happy ISD,219901,$0.00,$0.00
Savoy ISD,74911,$0.00,$0.00
Walnut Bend ISD,49908,$0.00,$0.00
McLeod ISD,34906,$0.00,$0.00
Cherokee ISD,206903,$0.00,$0.00
Walnut Springs ISD,18905,$0.00,$0.00
Sivells Bend ISD,49909,$0.00,$0.00
Irion County ISD,118902,$0.00,$0.00
Union Hill ISD,230904,$0.00,$0.00
Mumford ISD,198906,$0.00,$0.00
Paducah ISD,51901,$0.00,$0.00
Vysehrad ISD,143904,$0.00,$0.00
Hemphill ISD,202903,$0.00,$0.00
Brookeland ISD,121902,$0.00,$0.00
Etoile ISD,174910,$0.00,$0.00
Fort Sam Houston ISD,15914,$0.00,$0.00
Lackland ISD,15913,$0.00,$0.00
Prairie Lea ISD,28906,$0.00,$0.00
Ramirez CSD,66005,$0.00,$0.00
Coleman ISD,42901,$0.00,$0.00
Moran ISD,209902,$0.00,$0.00
Boling ISD,241901,$0.00,$0.00
Centerville ISD (Trinity),228904,$0.00,$0.00
Groveton ISD,228901,$0.00,$0.00
WEST RUSK COUNTY CONSOLIDATED ISD,201914,$0.00,$0.00
Devers ISD,146903,$0.00,$0.00
Milford ISD,70909,$0.00,$0.00
Morgan ISD,18903,$0.00,$0.00
Kopperl ISD,18907,$0.00,$0.00
DOSS CONSOLIDATED CSD,86024,$0.00,$0.00
Junction ISD,134901,$0.00,$0.00
Utopia ISD,232904,$0.00,$0.00
Divide ISD,133905,$0.00,$0.00
Harper ISD,86902,$0.00,$0.00
Olton ISD,140905,$0.00,$0.00
Cotton Center ISD,95902,$0.00,$0.00
Anton ISD,110901,$0.00,$0.00
Smyer ISD,110906,$0.00,$0.00
Southland ISD,85903,$0.00,$0.00
Lorenzo ISD,54902,$0.00,$0.00
San Isidro ISD,214902,$0.00,$0.00
Rio Grande City CISD,214901,$0.00,$0.00
Penelope ISD,109914,$0.00,$0.00
Gholson ISD,161925,$0.00,$0.00
Forestburg ISD,169910,$0.00,$0.00
Eagle Mountain-Saginaw ISD,220918,$0.00,$0.00
