State,Region,County,District,District Name,Charter Status,Superintendent,Base Pay,FTE Salary,Enrollment,FTE
TX,20,BANDERA COUNTY,10901,MEDINA ISD,TRADITIONAL ISD/CSD,"KUNZ, LINDSEY KAY","$52,000.00","$104,000.00",243,0.5
TX,8,HOPKINS COUNTY,112907,MILLER GROVE ISD,TRADITIONAL ISD/CSD,"RANKIN, LINDA D","$104,000.00","$104,000.00",310,1
TX,9,MONTAGUE COUNTY,169909,PRAIRIE VALLEY ISD,TRADITIONAL ISD/CSD,"WEST, TIMOTHY LEE","$91,404.00","$103,750.00",135,0.88
TX,16,CASTRO COUNTY,35903,NAZARETH ISD,TRADITIONAL ISD/CSD,"GARLITZ, KARA S","$103,000.00","$103,000.00",243,1
TX,16,DALLAM COUNTY,56902,TEXLINE ISD,TRADITIONAL ISD/CSD,"JONES, TERRELL C","$92,999.00","$103,000.00",225,0.9
TX,2,KENEDY COUNTY,131001,KENEDY COUNTY WIDE CSD,TRADITIONAL ISD/CSD,"TINSLEY, KRISTEN MICHELLE","$51,480.00","$102,960.00",126,0.5
TX,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,"LEWIS, JOHNNY","$60,242.00","$102,418.00",86,0.59
TX,14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,"MORRIS, ZACHARIA P","$102,152.00","$102,152.00",181,1
TX,15,BROWN COUNTY,25905,MAY ISD,TRADITIONAL ISD/CSD,"HEUPEL, NICHOLAS PAUL","$102,141.00","$102,141.00",243,1
TX,9,HARDEMAN COUNTY,99902,CHILLICOTHE ISD,TRADITIONAL ISD/CSD,"MARTINEZ, TONY A","$101,856.00","$101,856.00",189,1
TX,9,MONTAGUE COUNTY,169910,FORESTBURG ISD,TRADITIONAL ISD/CSD,"BRILES, JASON E","$68,963.00","$101,625.00",180,0.68
TX,16,DONLEY COUNTY,65902,HEDLEY ISD,TRADITIONAL ISD/CSD,"LANGFORD, TRACEY RAE","$101,200.00","$101,200.00",95,1
TX,20,UVALDE COUNTY,232904,UTOPIA ISD,TRADITIONAL ISD/CSD,"DERRY, MICHAEL ANTHONY","$101,000.00","$101,000.00",196,1
TX,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,"JONES, BRADLEY J","$100,786.00","$100,786.00",127,1
TX,2,DUVAL COUNTY,66005,RAMIREZ CSD,TRADITIONAL ISD/CSD,"HAMILL, GLORIA BERNICE","$50,265.00","$100,530.00",36,0.5
TX,15,EDWARDS COUNTY,69902,NUECES CANYON CISD,TRADITIONAL ISD/CSD,"POWERS, KRISTI L","$33,497.00","$100,501.00",240,0.33
TX,16,BRISCOE COUNTY,23902,SILVERTON ISD,TRADITIONAL ISD/CSD,"FRANCIS, MICHELLE R","$100,041.00","$100,041.00",204,1
TX,3,LAVACA COUNTY,143906,EZZELL ISD,TRADITIONAL ISD/CSD,"BERCKENHOFF, LISA A","$45,240.00","$100,000.00",128,0.45
TX,16,WHEELER COUNTY,242906,FORT ELLIOTT CISD,TRADITIONAL ISD/CSD,"MAHLER, BRANDON KYLE","$100,000.00","$100,000.00",141,1
TX,15,MCCULLOCH COUNTY,160905,LOHN ISD,TRADITIONAL ISD/CSD,"SHACKELFORD, JOANNA KAY","$100,000.00","$100,000.00",123,1
TX,16,ROBERTS COUNTY,197902,MIAMI ISD,TRADITIONAL ISD/CSD,"SOLIS, KRISTA S","$100,000.00","$100,000.00",177,1
TX,15,MCCULLOCH COUNTY,160904,ROCHELLE ISD,TRADITIONAL ISD/CSD,"FIELDS, MATTHEW TAYLOR","$100,000.00","$100,000.00",160,1
TX,14,HASKELL COUNTY,104903,RULE ISD,TRADITIONAL ISD/CSD,"HARRIS, PAUL WILLARD","$100,000.00","$100,000.00",138,1
TX,11,COOKE COUNTY,49909,SIVELLS BEND ISD,TRADITIONAL ISD/CSD,"DAUGHERTY, JAMES C","$50,000.00","$100,000.00",62,0.5
TX,7,UPSHUR COUNTY,230904,UNION HILL ISD,TRADITIONAL ISD/CSD,"BOOTH, JOHN BEDFORD","$100,000.00","$100,000.00",282,1
TX,17,HOCKLEY COUNTY,110908,WHITHARRAL ISD,TRADITIONAL ISD/CSD,"PROWELL, BENJAMIN C","$99,000.00","$99,000.00",229,1
TX,12,HILL COUNTY,109908,MALONE ISD,TRADITIONAL ISD/CSD,"SCHWARTZ, WINDY LINN","$5,153.00","$98,340.00",63,0.05
TX,17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,"TOBIAS, FREDRICK","$98,000.00","$98,000.00",175,1
